DateTime, CaseName, Status, Mode, Number, LoadMult, NumDevices, NumBuses, NumNodes, Iterations, ControlMode, ControlIterations, MostIterationsDone, Year, Hour, MaxPuVoltage, MinPuVoltage, TotalMW, TotalMvar, MWLosses, pctLosses, MvarLosses, Frequency
"17-3-23 22:03:07", psu_13_node_feeder_7, SOLVED, Daily, 672,    1.000, 1241, 1239, 2342, 2, STATIC, 1, 2, 0, 168, 1.1967, 0.6693, 0.0689594, -1.96638, 0.0689594, 100, 0.381797, 60
"17-3-23 22:03:32", psu_13_node_feeder_7, SOLVED, Daily, 672,    1.000, 1241, 1239, 2342, 2, STATIC, 1, 2, 0, 168, 1.1967, 0.6693, 0.0689594, -1.96638, 0.0689594, 100, 0.381797, 60
"17-3-23 22:14:36", psu_13_node_feeder_7, SOLVED, Daily, 672,    1.000, 1241, 1239, 2342, 2, STATIC, 1, 2, 0, 168, 1.1967, 0.6693, 0.0689594, -1.96638, 0.0689594, 100, 0.381797, 60
